

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Venus_96wellgrowthcurve_170301_140038.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\96wellgrowthcurve.prt



Plate Number	Plate 1
Date	3/1/2017
Time	2:00:38 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	48 WELL PLATE
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 120:00:00 (HH:MM:SS), Interval 0:30:00, 241 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	22.6

Results
	1	2	3	4	5	6	7	8
A	0.037	0.035	0.035	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.038	0.038	0.038	0.037	0.039	0.038	0.136	0.035	Read 1:600
C	0.036	0.059	0.060	0.059	0.061	0.038	0.110	0.035	Read 1:600
D	0.036	0.072	0.061	0.100	0.068	0.039	0.088	0.037	Read 1:600
E	0.036	0.117	0.069	0.084	0.103	0.039	0.087	0.038	Read 1:600
F	0.038	0.037	0.038	0.037	0.036	0.036	0.036	0.038	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
60:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.097	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.107	0.035	0.035	1.051	1.072	1.096	1.077	0.038	1.091	0.035	0.035	1.062	1.083	1.094	1.082	0.038	1.083	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
60:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.094	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.106	0.035	0.035	1.049	1.071	1.094	1.076	0.039	1.089	0.036	0.035	1.060	1.081	1.092	1.081	0.038	1.080	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.034	0.035
61:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.093	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.104	0.035	0.035	1.048	1.070	1.094	1.074	0.039	1.089	0.035	0.035	1.058	1.079	1.091	1.079	0.038	1.079	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.034	0.036
61:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.093	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.104	0.035	0.035	1.046	1.069	1.092	1.074	0.038	1.088	0.035	0.035	1.056	1.077	1.089	1.077	0.038	1.078	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
62:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.090	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.102	0.035	0.035	1.044	1.067	1.092	1.072	0.039	1.085	0.035	0.035	1.054	1.076	1.087	1.076	0.038	1.076	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
62:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.089	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.101	0.035	0.035	1.042	1.066	1.089	1.071	0.039	1.085	0.035	0.035	1.052	1.074	1.085	1.074	0.038	1.075	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.034	0.036
63:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.088	0.034	0.035	0.060	0.062	0.065	0.067	0.038	1.099	0.035	0.035	1.041	1.065	1.089	1.070	0.039	1.084	0.035	0.035	1.050	1.073	1.084	1.072	0.038	1.073	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
63:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.087	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.098	0.035	0.035	1.039	1.063	1.088	1.069	0.038	1.083	0.036	0.035	1.049	1.071	1.083	1.071	0.038	1.071	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
64:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.037	1.086	0.034	0.035	0.060	0.062	0.065	0.067	0.038	1.097	0.035	0.035	1.037	1.062	1.087	1.067	0.038	1.081	0.035	0.035	1.047	1.069	1.081	1.069	0.038	1.070	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
64:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.084	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.096	0.035	0.035	1.035	1.061	1.085	1.066	0.039	1.080	0.036	0.035	1.045	1.068	1.080	1.067	0.038	1.069	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.036
65:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.083	0.034	0.035	0.060	0.062	0.065	0.067	0.038	1.095	0.035	0.035	1.033	1.059	1.084	1.066	0.038	1.078	0.035	0.035	1.044	1.066	1.078	1.066	0.038	1.067	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
65:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.082	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.094	0.035	0.035	1.032	1.057	1.082	1.064	0.039	1.077	0.035	0.035	1.042	1.064	1.077	1.064	0.038	1.065	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
66:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.081	0.034	0.035	0.061	0.062	0.065	0.066	0.038	1.092	0.035	0.035	1.030	1.056	1.082	1.063	0.038	1.075	0.035	0.035	1.040	1.063	1.075	1.063	0.038	1.064	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
66:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.079	0.034	0.035	0.060	0.062	0.065	0.067	0.038	1.091	0.035	0.035	1.028	1.055	1.081	1.062	0.038	1.074	0.035	0.035	1.038	1.061	1.073	1.061	0.038	1.062	0.037	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
67:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.078	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.091	0.035	0.035	1.026	1.053	1.079	1.060	0.038	1.073	0.035	0.035	1.036	1.059	1.072	1.060	0.038	1.060	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
67:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.077	0.034	0.035	0.060	0.062	0.065	0.067	0.038	1.089	0.035	0.035	1.025	1.052	1.078	1.059	0.038	1.072	0.035	0.035	1.034	1.057	1.070	1.058	0.038	1.059	0.036	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
68:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.075	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.088	0.035	0.035	1.023	1.050	1.077	1.058	0.039	1.070	0.035	0.035	1.032	1.056	1.068	1.056	0.038	1.057	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
68:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.074	0.033	0.035	0.061	0.062	0.065	0.066	0.038	1.087	0.035	0.035	1.021	1.048	1.075	1.056	0.038	1.069	0.035	0.035	1.031	1.055	1.067	1.055	0.038	1.057	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
69:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.037	1.073	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.085	0.035	0.035	1.020	1.047	1.074	1.056	0.038	1.068	0.035	0.035	1.029	1.054	1.066	1.054	0.038	1.055	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
69:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.038	0.038	0.037	0.039	0.038	1.072	0.034	0.035	0.061	0.062	0.065	0.066	0.038	1.085	0.035	0.035	1.018	1.046	1.073	1.054	0.038	1.068	0.035	0.035	1.028	1.052	1.064	1.052	0.038	1.053	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
70:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.071	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.083	0.035	0.035	1.016	1.044	1.071	1.053	0.038	1.066	0.035	0.035	1.026	1.051	1.063	1.051	0.038	1.052	0.037	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
70:59:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.070	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.082	0.035	0.035	1.016	1.043	1.071	1.052	0.038	1.065	0.036	0.035	1.025	1.050	1.062	1.050	0.038	1.051	0.037	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
71:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.070	0.034	0.035	0.061	0.062	0.065	0.066	0.038	1.082	0.035	0.035	1.014	1.041	1.069	1.051	0.038	1.064	0.035	0.035	1.024	1.048	1.061	1.048	0.038	1.049	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
71:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.067	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.081	0.035	0.035	1.012	1.041	1.068	1.051	0.038	1.063	0.035	0.035	1.021	1.047	1.059	1.046	0.038	1.049	0.037	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
72:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.067	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.079	0.035	0.035	1.009	1.036	1.065	1.046	0.038	1.061	0.035	0.035	1.021	1.045	1.057	1.044	0.038	1.047	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
72:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.066	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.079	0.035	0.035	1.009	1.036	1.065	1.047	0.038	1.061	0.035	0.035	1.021	1.045	1.057	1.044	0.038	1.047	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
73:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.067	0.034	0.035	0.061	0.062	0.065	0.066	0.038	1.079	0.035	0.035	1.007	1.035	1.063	1.044	0.038	1.062	0.035	0.035	1.019	1.043	1.056	1.043	0.038	1.045	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
73:59:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.065	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.077	0.035	0.035	1.006	1.034	1.063	1.044	0.038	1.060	0.035	0.035	1.017	1.042	1.054	1.041	0.038	1.044	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.035
74:29:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.063	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.077	0.035	0.035	1.005	1.033	1.062	1.043	0.038	1.058	0.035	0.035	1.015	1.040	1.053	1.039	0.038	1.044	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.034	0.035
74:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.062	0.033	0.035	0.060	0.062	0.065	0.066	0.038	1.077	0.035	0.035	1.005	1.032	1.061	1.043	0.038	1.058	0.035	0.035	1.015	1.040	1.052	1.039	0.038	1.042	0.036	0.036	0.035	0.036	0.035	0.034	0.034	0.034	0.035
75:29:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.062	0.034	0.035	0.060	0.062	0.065	0.066	0.038	1.075	0.035	0.035	1.003	1.030	1.061	1.041	0.038	1.057	0.035	0.035	1.013	1.037	1.050	1.037	0.038	1.041	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
75:59:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.062	0.033	0.035	0.060	0.062	0.065	0.066	0.038	1.075	0.035	0.034	1.003	1.030	1.060	1.042	0.038	1.057	0.035	0.035	1.012	1.037	1.049	1.036	0.038	1.040	0.037	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
76:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.062	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.075	0.035	0.034	1.002	1.030	1.059	1.041	0.038	1.056	0.035	0.035	1.012	1.036	1.049	1.036	0.038	1.040	0.036	0.035	0.036	0.036	0.035	0.035	0.034	0.034	0.035
76:59:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.062	0.033	0.035	0.060	0.062	0.065	0.066	0.038	1.074	0.035	0.034	1.001	1.028	1.058	1.040	0.038	1.055	0.035	0.035	1.010	1.035	1.047	1.035	0.038	1.039	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.035
77:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.061	0.033	0.035	0.061	0.062	0.065	0.066	0.038	1.073	0.035	0.034	1.000	1.028	1.058	1.040	0.038	1.053	0.035	0.035	1.009	1.034	1.047	1.033	0.038	1.038	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
77:59:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.059	0.033	0.035	0.060	0.062	0.064	0.066	0.038	1.072	0.035	0.034	1.000	1.027	1.057	1.039	0.038	1.053	0.035	0.035	1.008	1.032	1.045	1.032	0.038	1.037	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
78:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.058	0.034	0.035	0.060	0.062	0.064	0.066	0.038	1.071	0.035	0.034	0.999	1.026	1.056	1.039	0.038	1.053	0.035	0.035	1.006	1.032	1.044	1.031	0.038	1.034	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.036
78:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.056	0.034	0.035	0.060	0.062	0.063	0.066	0.038	1.071	0.035	0.034	0.998	1.025	1.055	1.038	0.038	1.052	0.035	0.035	1.005	1.031	1.043	1.030	0.038	1.035	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
79:29:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.056	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.070	0.035	0.034	0.997	1.023	1.055	1.037	0.038	1.052	0.035	0.035	1.003	1.029	1.042	1.028	0.038	1.033	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
79:59:43	25.0	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.055	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.069	0.035	0.034	0.996	1.023	1.055	1.036	0.038	1.049	0.035	0.035	1.002	1.028	1.040	1.027	0.037	1.031	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
80:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.055	0.034	0.035	0.060	0.062	0.064	0.066	0.038	1.067	0.035	0.034	0.995	1.021	1.054	1.035	0.038	1.049	0.035	0.035	1.000	1.026	1.039	1.026	0.038	1.030	0.037	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.035
80:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.052	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.066	0.035	0.034	0.993	1.020	1.052	1.034	0.038	1.047	0.035	0.035	0.998	1.025	1.037	1.024	0.038	1.029	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
81:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.051	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.066	0.035	0.034	0.991	1.019	1.051	1.034	0.038	1.046	0.035	0.035	0.996	1.023	1.036	1.023	0.038	1.027	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
81:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.050	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.064	0.035	0.034	0.990	1.018	1.050	1.033	0.038	1.045	0.035	0.035	0.994	1.022	1.034	1.021	0.037	1.025	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.035
82:29:43	25.0	0.035	0.034	0.035	0.035	0.035	0.036	0.035	0.035	0.036	0.037	0.037	0.037	0.039	0.037	1.049	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.062	0.035	0.034	0.989	1.017	1.050	1.032	0.038	1.044	0.035	0.035	0.991	1.020	1.033	1.019	0.037	1.024	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
82:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.049	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.062	0.035	0.034	0.988	1.016	1.049	1.031	0.038	1.042	0.035	0.035	0.989	1.018	1.031	1.017	0.038	1.023	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
83:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.047	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.060	0.035	0.034	0.986	1.015	1.047	1.030	0.038	1.040	0.035	0.035	0.987	1.017	1.029	1.016	0.037	1.021	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
83:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.046	0.034	0.035	0.060	0.062	0.063	0.066	0.038	1.060	0.035	0.034	0.984	1.013	1.046	1.030	0.038	1.039	0.035	0.035	0.985	1.015	1.028	1.014	0.038	1.019	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
84:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.045	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.059	0.035	0.034	0.982	1.013	1.046	1.029	0.038	1.039	0.035	0.035	0.982	1.013	1.026	1.012	0.037	1.018	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
84:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.045	0.034	0.035	0.060	0.062	0.063	0.066	0.038	1.057	0.035	0.034	0.981	1.011	1.045	1.028	0.038	1.038	0.035	0.035	0.980	1.011	1.024	1.011	0.038	1.016	0.036	0.035	0.035	0.036	0.035	0.035	0.034	0.034	0.036
85:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.043	0.034	0.035	0.060	0.062	0.063	0.066	0.038	1.057	0.035	0.033	0.980	1.010	1.043	1.027	0.038	1.037	0.035	0.035	0.978	1.010	1.023	1.008	0.038	1.014	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
85:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.040	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.055	0.035	0.033	0.978	1.009	1.042	1.025	0.038	1.035	0.035	0.035	0.975	1.007	1.021	1.007	0.038	1.012	0.036	0.035	0.035	0.036	0.035	0.034	0.034	0.034	0.036
86:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.039	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.054	0.035	0.033	0.976	1.008	1.041	1.025	0.038	1.033	0.035	0.035	0.973	1.006	1.019	1.005	0.037	1.011	0.036	0.036	0.035	0.036	0.035	0.034	0.034	0.034	0.036
86:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.039	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.052	0.035	0.033	0.975	1.007	1.039	1.024	0.038	1.032	0.035	0.035	0.970	1.004	1.018	1.004	0.038	1.009	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
87:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.039	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.052	0.035	0.033	0.973	1.006	1.038	1.023	0.038	1.031	0.035	0.035	0.969	1.002	1.016	1.002	0.037	1.007	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
87:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.037	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.050	0.035	0.033	0.972	1.005	1.038	1.022	0.038	1.030	0.035	0.034	0.966	1.000	1.014	1.000	0.037	1.006	0.036	0.036	0.035	0.036	0.035	0.034	0.034	0.034	0.036
88:29:43	25.0	0.035	0.034	0.035	0.035	0.035	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.038	0.037	1.036	0.033	0.035	0.060	0.061	0.063	0.066	0.038	1.049	0.035	0.033	0.971	1.004	1.036	1.021	0.038	1.028	0.035	0.034	0.964	0.998	1.013	0.999	0.037	1.004	0.036	0.036	0.035	0.035	0.035	0.034	0.034	0.034	0.036
88:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.038	1.035	0.034	0.035	0.060	0.062	0.063	0.066	0.038	1.049	0.035	0.033	0.969	1.003	1.036	1.020	0.038	1.029	0.035	0.035	0.962	0.996	1.011	0.998	0.038	1.002	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
89:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.034	0.033	0.035	0.060	0.062	0.063	0.066	0.038	1.047	0.035	0.033	0.968	1.002	1.034	1.019	0.038	1.026	0.035	0.034	0.960	0.995	1.009	0.996	0.037	1.001	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
89:59:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.033	0.033	0.035	0.060	0.061	0.063	0.066	0.038	1.047	0.035	0.033	0.966	1.001	1.033	1.018	0.038	1.025	0.035	0.034	0.957	0.992	1.008	0.994	0.037	0.999	0.036	0.036	0.035	0.035	0.035	0.035	0.034	0.034	0.036
90:29:43	25.0	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.030	0.033	0.035	0.060	0.061	0.063	0.066	0.038	1.044	0.035	0.033	0.966	1.000	1.032	1.018	0.038	1.024	0.035	0.034	0.955	0.991	1.006	0.993	0.037	0.998	0.036	0.036	0.034	0.036	0.035	0.034	0.034	0.034	0.036
90:59:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.030	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.044	0.035	0.033	0.964	0.999	1.031	1.016	0.038	1.024	0.035	0.034	0.952	0.989	1.004	0.991	0.038	0.996	0.036	0.036	0.035	0.036	0.035	0.035	0.034	0.034	0.036
91:29:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.036	0.037	0.038	0.037	0.039	0.037	1.030	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.042	0.035	0.032	0.963	0.998	1.030	1.015	0.038	1.021	0.035	0.034	0.951	0.988	1.003	0.990	0.038	0.994	0.036	0.036	0.035	0.035	0.035	0.035	0.034	0.034	0.036
